seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
R2	AZST 	Sammi Hampton                	 7	 8	169	82.683	154	 90.670	107	 92.847	185	7.002	130	10.28	393	 1.496	413324	337524	1887484
R2	AZST 	Giulia Morlet                	10	 6	177	82.117	181	 89.960	176	 91.322	162	7.120	139	10.25	255	 2.201	564468	337031	 244395
R2	AZST 	Marianna Argyrokastriti      	15	 6	184	81.607	177	 90.166	204	 90.641	146	7.193	153	10.19	261	 2.124	563705	337029	 281845
R2	AZST 	Cali Jankowski               	 6	 2	224	77.218	307	 86.905	355	 87.063	233	6.704	114	10.33	212	 2.474	489644	337024	1252161
R2	AZST 	Domenika Turkovic            	10	 7	278	72.118	276	 87.538	299	 88.187	256	6.569	265	 9.72	301	 1.939	563706	337027	 203602
R2	AZST 	Tereza Kolarova              	 4	 2	355	65.724	347	 85.760	365	 86.869	299	6.298	347	 9.33	360	 1.691	422893	337023	  68994
R2	AZST 	Sasa Klanecek                	 1	 0	513	52.486	519	 75.934	529	 77.180	   	     	414	 8.83	   	      	422319	      	  75262
R2	DUKE 	Georgia Drummy               	20	 4	 22	97.684	 38	 94.618	 32	 95.642	 14	8.363	 23	10.81	 17	24.144	564359	336987	 114630
R2	DUKE 	Meible Chi                   	24	 3	 43	95.848	 47	 94.020	 58	 94.364	 24	8.251	 51	10.60	 37	15.198	396854	336994	 926491
R2	DUKE 	Chloe Beck                   	19	 4	 44	95.673	 54	 93.744	 51	 94.719	 30	8.145	 51	10.60	 36	15.347	514741	336991	  95651
R2	DUKE 	Kelly Chen                   	11	12	 54	94.730	 51	 93.846	 37	 95.413	 79	7.599	 62	10.53	 44	12.424	396686	336995	  50623
R2	DUKE 	Margaryta Bilokin            	14	11	181	81.832	209	 89.349	201	 90.694	197	6.920	130	10.28	184	 2.719	497015	336989	 179984
R2	DUKE 	Karolina Berankova           	11	13	365	65.165	335	 86.099	353	 87.123	327	6.113	330	 9.41	   	      	564360	336986	 182570
R2	DUKE 	Ema Lazic                    	 2	 3	380	64.135	370	 85.049	349	 87.212	322	6.142	355	 9.27	   	      	425392	336996	 403434
R2	DUKE 	Hannah Zhao                  	 2	 7	429	60.071	432	 82.651	413	 84.972	402	5.634	352	 9.28	   	      	466192	337000	 226125
R2	MIA  	Estela Perez-Somarriba       	19	 2	  5	99.653	  5	 98.556	  5	 98.973	  4	8.876	  5	11.11	  1	69.452	440887	337439	 150205
R2	MIA  	Isabella Pfennig             	17	 5	 39	96.209	 52	 93.838	 56	 94.371	 48	7.866	 56	10.58	 10	32.524	564946	337447	1972317
R2	MIA  	Diana Khodan                 	13	 8	209	78.683	202	 89.525	232	 89.993	151	7.173	200	10.03	311	 1.899	521317	337449	 260989
R2	MIA  	Maya Tahan                   	14	 8	216	78.056	224	 89.021	241	 89.817	188	6.972	203	10.02	247	 2.263	521316	337443	1972195
R2	MIA  	Florencia Urrutia            	12	 9	221	77.369	210	 89.345	223	 90.155	198	6.919	217	 9.98	295	 1.959	521318	337445	 248735
R2	MIA  	Daevenia Achong              	 7	12	234	76.326	217	 89.154	183	 91.097	245	6.620	193	10.05	396	 1.487	496485	337808	1712029
R2	MIA  	Selma Cadar                  	 0	 2	405	62.336	405	 83.914	377	 86.407	360	5.914	343	 9.35	   	      	509855	337442	1711774
