seed	team	player	wins	losses	r2Id	masseyId	utrId	notes	drawLine	line
R3	FIU  	Komola Umarova               	10	 2	493859	339447	1889172	  		  
R3	FIU  	Kristina Miletic             	 3	 7	511966	339449	 141668	  		  
R3	FIU  	Marina Alcaide               	11	 1	511963	338068	1724321	  		  
R3	FUR  	Ellie Schoppe                	20	 4	564766	337239	1624045	  		  
R3	FUR  	Georgie Walker               	 0	 1	461689	337205	 956408	  		  
R3	FUR  	Ilayda Baykan                	 4	 1	564765	339208	1525834	  		  
R3	FUR  	Julia Adams                  	19	 6	486168	337201	1973223	  		  
R3	FUR  	Katarina Kozarov             	23	 1	423350	337200	 269978	AQ		21
R3	FUR  	Madison Dillon               	12	13	497145	337202	 100157	  		  
R3	FUR  	Maggie Pate                  	15	 8	512093	337204	1522752	  		  
R3	FUR  	Maryann Rompf                	18	 9	512095	337203	 297502	  		  
R3	ISU  	Chie Kezuka                  	14	13	514905	336692	2514918	  		  
R3	ISU  	Christin Hsieh               	11	17	514907	336684	1880718	  		  
R3	ISU  	Ellie Murphy                 	 1	 8	561614	336694	1784979	  		  
R3	ISU  	Maty Cancini                 	11	15	394889	336681	1969556	  		  
R3	ISU  	Miska Kadleckova             	15	 3	561613	337372	2621858	  		  
R3	ISU  	Sofia Cabezas                	13	 4	565111	337375	2665937	  		  
R3	ISU  	Thasaporn Naklo              	11	 7	514906	337369	1708919	  		  
R3	ISU  	Ting-Pei Chang               	 3	 9	514909	336696	 199184	  		  
R3	JMU  	Alexis Franco                	14	 2	564603	338902	  62216	  		  
R3	JMU  	Amanda Nord                  	 4	 1	486160	338906	1623637	  		  
R3	JMU  	Daniela Voloh                	12	 1	486161	340493	 151747	  		  
R3	JMU  	Daria Afanasyeva             	10	 5	486159	338896	 972053	  		  
R3	JMU  	Jona Roka                    	10	 4	446644	338898	  33300	  		  
R3	JMU  	Kylie Moulin                 	13	 2	511635	338904	1906624	  		  
R3	JMU  	Michelle Los Arcos Balasch   	 1	 0	497645	341577	2095895	  		  
R3	JMU  	Natalia Nikolopoulou         	 8	 5	511631	338900	 190088	  		  
R3	MSST 	Alexandra Mikhailuk          	16	15	510941	336776	1884708	  		  
R3	MSST 	Chloe Cirotte                	11	 6	561126	337139	2084299	  		  
R3	MSST 	Emma Antonaki                	16	 5	486811	337051	2666454	AL		51
R3	MSST 	Lilian Poling                	12	11	561127	336786	  51373	  		  
R3	MSST 	Magda Adaloglou              	12	 6	384278	337049	2630090	  		  
R3	MSST 	Marta Falceto                	11	 8	510940	336789	 190101	  		  
R3	MSST 	Sara Lizariturry             	 3	 0	427230	337055	2688681	  		  
R3	MSST 	Tamara Racine                	 9	15	486813	336781	2058652	  		  
R3	MSST 	Valeria Nikolaev             	 2	 1	486812	336772	  50861	  		  
